session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62b8dac79dfd30c149d8bdcc,5c982494dd325800146f870e,APPROVED,2022-06-26 22:17:14.864000,2022-06-26 22:22:27.807000,312.943,30,264,1,100,2022-06-27 07:46:19.467000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
62b8db4d604fafe349ba2725,6100af50f41049317edf4099,APPROVED,2022-06-26 22:19:00.738000,2022-06-26 22:24:45.664000,344.926,23,144,0,100,2022-06-27 07:46:19.398000,2DA8D5B4,United States,United Kingdom,Other,English,United States,Female,Yes
62b8dc6bc8cfcb98cdf27abe,5f8bb4f68cb05a2f5c15130a,APPROVED,2022-06-26 22:23:42.857000,2022-06-26 22:34:10.766000,627.909,24,432,0,100,2022-06-27 07:46:19.333000,2DA8D5B4,United Kingdom,United Kingdom,Other,English,United Kingdom,Male,No
62b8dc794329aa752d446ef7,5e8e0592039e71067ee874a5,APPROVED,2022-06-26 22:23:59.195000,2022-06-26 22:28:35.793000,276.598,42,677,3,100,2022-06-27 07:46:19.265000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,No
62b8dc9cd8f0b83ec2341520,60d2295bcb7135a034690583,AWAITING REVIEW,2022-06-26 22:24:31.925000,2022-06-26 22:29:11.973000,280.048,38,240,1,100,,2DA8D5B4,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
