session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62b5a9e0a408912183f14aae,62a72444a8659e31e147a428,APPROVED,2022-06-24 12:11:17.274000,2022-06-24 12:17:52.033000,394.759,37,20,0,100,2022-06-26 21:47:46.168000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
62b5a9e14342bf89a2516adb,5a692a8463394a000155da61,APPROVED,2022-06-24 12:11:28.448000,2022-06-24 12:19:33.206000,484.758,58,1318,5,100,2022-06-26 21:47:46.225000,2DA8D5B4,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
62b5a9e7250b62426298f5e6,62029c5aef1cb18a1337c9c8,APPROVED,2022-06-24 12:11:22.358000,2022-06-24 12:18:14.501000,412.143,22,62,0,100,2022-06-26 21:47:46.323000,2DA8D5B4,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
62b5a9edbdc2ce9452c33203,59e81d33ae9f950001d8439d,APPROVED,2022-06-24 12:11:29.518000,2022-06-24 12:16:50.350000,320.832,31,354,7,97,2022-06-26 21:47:46.385000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
62b5aa01a1bf3130adfcc538,6004d426710b3c300a1259ee,APPROVED,2022-06-24 12:11:48.262000,2022-06-24 12:17:46.533000,358.271,61,433,0,100,2022-06-26 21:47:46.444000,2DA8D5B4,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62b5aa13f0c3c0dfc88fa229,5ea199bf2e40a10477cf6426,APPROVED,2022-06-24 12:12:37.617000,2022-06-24 12:20:08.468000,450.851,60,606,6,98,2022-06-26 21:47:46.503000,2DA8D5B4,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
62b5aa1cc2c4a1e555ba2747,5bbc9935ac45e6000131f1e6,APPROVED,2022-06-24 12:12:15.248000,2022-06-24 12:16:46.785000,271.537,36,245,5,96,2022-06-26 21:47:46.577000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
62b5aa1dad8df027071ffcfc,5f588fb87204220009eb684f,APPROVED,2022-06-24 12:12:19.204000,2022-06-24 12:18:32.021000,372.817,31,512,2,100,2022-06-26 21:47:46.633000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
62b5aa1deb74baf0671a988e,5ed6b8e464a88d1285df58f2,APPROVED,2022-06-24 12:12:16.359000,2022-06-24 12:19:17.516000,421.157,20,249,0,100,2022-06-26 21:47:46.691000,2DA8D5B4,United Kingdom,United Kingdom,Due to start a new job within the next month,English,United Kingdom,Male,Yes
62b5aa251877a3bb7258ca4e,62a8375ef5d3cb6960e4ed2e,APPROVED,2022-06-24 12:12:25.647000,2022-06-24 12:20:46.622000,500.975,44,9,0,100,2022-06-26 21:47:46.758000,2DA8D5B4,DATA EXPIRED,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
62b5aa25fac8ea7bc39b90d4,579768e3dcff7d0001c7c462,APPROVED,2022-06-24 12:12:27.636000,2022-06-24 12:18:24.205000,356.569,42,718,1,100,2022-06-26 21:47:46.842000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
62b5aa2ea4167e45e30c579b,5b559c3d7e786b0001d392f7,APPROVED,2022-06-24 12:12:33.139000,2022-06-24 12:17:57.185000,324.046,30,214,3,99,2022-06-26 21:47:46.899000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
62b5aa32ec8caad322e69201,5f60a29da41c6f05389423b5,APPROVED,2022-06-24 12:12:40.212000,2022-06-24 12:17:07.791000,267.579,28,86,0,100,2022-06-26 21:47:46.999000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
62b5aa362ac0ef64ca446ef3,6148eb0c268c6c69d94478d3,APPROVED,2022-06-24 12:12:40.087000,2022-06-24 12:17:26.101000,286.014,28,196,0,100,2022-06-26 21:47:47.075000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
